códigoventas,fecha,códigocliente,códigoproducto,unidades,preciototal
V000001675,6/11/14,C0018,B00F3J4B5S,3.0,1236.84
V000001676,6/11/14,C0020,B01DZJFWNC,5.0,1193.1
V000001677,6/11/14,C0023,B016381QZA,18.0,8674.92
V000001678,6/11/14,C0025,B00F3J4B5S,2.0,824.56
V000001679,6/11/14,C0026,B00F3J4B5S,3.0,1236.84
V000001680,6/11/14,C0027,B018IZ0SWI,3.0,1161.54
V000001681,6/11/14,C0028,B00NQGP42Y,3.0,1703.58
V000001682,6/11/14,C0029,B00F3J4B5S,2.0,824.56
V000001683,6/11/14,C0030,B00F3J4B5S,1.0,412.28
V000001684,6/11/14,C0022,B018IZ0SWI,3.0,1161.54
V000001685,6/11/14,C0021,B00NQGP42Y,3.0,1703.58
V000001686,6/11/14,C0031,B01KBH547A,3.0,725.61
V000001687,6/11/14,C0032,B00F3J4B5S,3.0,1236.84
V000001688,6/11/14,C0033,B01KBH547A,3.0,725.61
V000001689,6/11/14,C0034,B01KBH547A,1.0,241.87
V000001690,6/11/14,C0035,B018IZ0SWI,2.0,774.36
V000001691,6/11/14,C0036,B00NQGP42Y,1.0,567.86
V000001692,6/11/14,C0037,B015YCRYZM,3.0,1443.33
V000001693,6/11/14,C0038,B018IZ0SWI,2.0,774.36
V000001694,6/11/14,C0039,B01KBH547A,3.0,725.61
V000001695,6/11/14,C0040,B01LQV1YHO,3.0,1164.42
V000001696,6/11/14,C0041,B00NQGP42Y,2.0,1135.72
V000001697,6/11/14,C0042,B018IZ0SWI,2.0,774.36
V000001698,6/11/14,C0043,B01EYT1URO,8.0,2509.52
V000001699,6/11/14,C0044,B00K15Q2B0,2.0,1035.92
V000001700,6/11/14,C0045,B016381QZA,2.0,963.88
V000001701,6/11/14,C0046,B015YCRYZM,2.0,962.22
V000001702,6/11/14,C0047,B01LQV1YHO,2.0,776.28
V000001703,6/11/14,C0048,B01KBH547A,3.0,725.61
V000001704,6/11/14,C0049,B01KBH547A,3.0,725.61
V000001705,6/11/14,C0050,B00K15Q2B0,3.0,1553.88
V000001706,6/11/14,C0051,B018IZ0SWI,3.0,1161.54
V000001707,6/11/14,C0052,B00F3J4B5S,3.0,1236.84
V000001708,6/11/14,C0053,B01EYT1URO,1.0,313.69
V000001709,6/11/14,C0054,B015YCRYZM,3.0,1443.33
V000001710,6/11/14,C0055,B016381QZA,1.0,481.94
V000001711,6/11/14,C0056,B018IZ0SWI,3.0,1161.54
V000001712,6/11/14,C0057,B00K15Q2B0,3.0,1553.88
V000001713,6/11/14,C0058,B00J0O5J4Y,3.0,1206.72
V000001714,6/11/14,C0059,B00K15Q2B0,3.0,1553.88
V000001715,6/11/14,C0060,B00K15Q2B0,3.0,1553.88
V000001716,6/11/14,C0061,B016B7INC2,3.0,731.34
V000001717,6/11/14,C0062,B01EYT1URO,1.0,313.69
V000001718,6/11/14,C0063,B00F3J4B5S,3.0,1236.84
V000001719,6/11/14,C0064,B016B7INC2,2.0,487.56
V000001720,7/11/14,C0065,B01DZJFWNC,3.0,715.86
V000001721,7/11/14,C0066,B01DZJFWNC,10.0,2386.2
V000001722,7/11/14,C0067,B01KBH547A,1.0,241.87
V000001723,7/11/14,C0068,B00J0O5J4Y,1.0,402.24
V000001724,7/11/14,C0069,B00F3J4B5S,1.0,412.28
V000001725,7/11/14,C0070,B01LQV1YHO,3.0,1164.42
V000001726,7/11/14,C0002,B01EYT1URO,3.0,941.0699999999999
V000001727,7/11/14,C0012,B01LQV1YHO,2.0,776.28
V000001728,7/11/14,C0011,B00K15Q2B0,3.0,1553.88
V000001729,7/11/14,C0003,B016B7INC2,1.0,243.78
V000001730,7/11/14,C0019,B00F3J4B5S,3.0,1236.84
V000001731,7/11/14,C0004,B018IZ0SWI,1.0,387.18
V000001732,7/11/14,C0024,B00NQGP42Y,1.0,567.86
V000001733,7/11/14,C0007,B01EYT1URO,3.0,941.0699999999999
V000001734,7/11/14,C0005,B00F3J4B5S,4.0,1649.12
V000001735,7/11/14,C0006,B00NQGP42Y,3.0,1703.58
V000001736,7/11/14,C0009,B00F3J4B5S,2.0,824.56
V000001737,7/11/14,C0001,B00NQGP42Y,1.0,567.86
V000001738,7/11/14,C0008,B00F3J4B5S,3.0,1236.84
V000001739,7/11/14,C0010,B018IZ0SWI,1.0,387.18
V000001740,7/11/14,C0013,B00NQGP42Y,3.0,1703.58
V000001741,7/11/14,C0014,B00F3J4B5S,1.0,412.28
V000001742,7/11/14,C0016,B01KBH547A,3.0,725.61
V000001743,7/11/14,C0017,B018IZ0SWI,3.0,1161.54
V000001744,7/11/14,C0015,B00K15Q2B0,3.0,1553.88
V000001745,7/11/14,C0018,B00K15Q2B0,1.0,517.96
V000001746,7/11/14,C0020,B01KBH547A,14.0,3386.1800000000003
V000001747,7/11/14,C0023,B01LQV1YHO,4.0,1552.56
V000001748,7/11/14,C0025,B00K15Q2B0,2.0,1035.92
V000001749,7/11/14,C0026,B01DZJFWNC,1.0,238.62
V000001750,7/11/14,C0027,B01KBH547A,2.0,483.74
V000001751,7/11/14,C0028,B00F3J4B5S,1.0,412.28
V000001752,7/11/14,C0029,B018IZ0SWI,1.0,387.18
V000001753,7/11/14,C0030,B016381QZA,3.0,1445.82
V000001754,7/11/14,C0022,B00NQGP42Y,1.0,567.86
V000001755,7/11/14,C0021,B018IZ0SWI,3.0,1161.54
V000001756,7/11/14,C0031,B01LQV1YHO,21.0,8150.94
V000001757,7/11/14,C0032,B00K15Q2B0,2.0,1035.92
V000001758,7/11/14,C0033,B01EYT1URO,1.0,313.69
V000001759,7/11/14,C0034,B00J0O5J4Y,2.0,804.48
V000001760,7/11/14,C0035,B018IZ0SWI,1.0,387.18
V000001761,7/11/14,C0036,B01EYT1URO,2.0,627.38
V000001762,7/11/14,C0037,B018IZ0SWI,3.0,1161.54
V000001763,7/11/14,C0038,B01DZJFWNC,3.0,715.86
V000001764,7/11/14,C0039,B00NQGP42Y,3.0,1703.58
V000001765,7/11/14,C0040,B01KBH547A,2.0,483.74
V000001766,7/11/14,C0041,B01KBH547A,2.0,483.74
V000001767,7/11/14,C0042,B01KBH547A,3.0,725.61
V000001768,7/11/14,C0043,B00K15Q2B0,2.0,1035.92
V000001769,7/11/14,C0044,B00K15Q2B0,23.0,11913.080000000002
V000001770,7/11/14,C0045,B01KBH547A,3.0,725.61
V000001771,7/11/14,C0046,B01LQV1YHO,1.0,388.14
V000001772,7/11/14,C0047,B00F3J4B5S,1.0,412.28
V000001773,7/11/14,C0048,B00F3J4B5S,25.0,10307.0
V000001774,7/11/14,C0049,B016381QZA,3.0,1445.82
V000001775,7/11/14,C0050,B00F3J4B5S,1.0,412.28
V000001776,7/11/14,C0051,B00NQGP42Y,13.0,7382.18
V000001777,7/11/14,C0052,B018IZ0SWI,3.0,1161.54
V000001778,7/11/14,C0053,B018IZ0SWI,2.0,774.36
V000001779,7/11/14,C0054,B00F3J4B5S,24.0,9894.72
V000001780,7/11/14,C0055,B00NQGP42Y,2.0,1135.72
V000001781,8/11/14,C0056,B01DZJFWNC,3.0,715.86
V000001782,8/11/14,C0057,B01KBH547A,1.0,241.87
V000001783,8/11/14,C0058,B016381QZA,3.0,1445.82
V000001784,8/11/14,C0059,B018IZ0SWI,1.0,387.18
V000001785,8/11/14,C0060,B00F3J4B5S,2.0,824.56
V000001786,8/11/14,C0061,B016B7INC2,2.0,487.56
V000001787,8/11/14,C0062,B00NQGP42Y,2.0,1135.72
V000001788,8/11/14,C0063,B00K15Q2B0,2.0,1035.92
V000001789,8/11/14,C0064,B01EYT1URO,1.0,313.69
V000001790,8/11/14,C0065,B01KBH547A,3.0,725.61
V000001791,8/11/14,C0066,B015YCRYZM,2.0,962.22
V000001792,8/11/14,C0067,B016381QZA,3.0,1445.82
V000001793,8/11/14,C0068,B01LQV1YHO,3.0,1164.42
V000001794,8/11/14,C0069,B01KBH547A,2.0,483.74
V000001795,8/11/14,C0070,B01KBH547A,1.0,241.87
V000001796,8/11/14,C0002,B016381QZA,2.0,963.88
V000001797,8/11/14,C0012,B01LQV1YHO,2.0,776.28
V000001798,8/11/14,C0011,B00F3J4B5S,1.0,412.28
V000001799,8/11/14,C0003,B01EYT1URO,3.0,941.0699999999999
V000001800,8/11/14,C0019,B00F3J4B5S,3.0,1236.84
V000001801,8/11/14,C0004,B018IZ0SWI,3.0,1161.54
V000001802,8/11/14,C0024,B018IZ0SWI,2.0,774.36
V000001803,8/11/14,C0007,B01DZJFWNC,1.0,238.62
V000001804,8/11/14,C0005,B018IZ0SWI,3.0,1161.54
V000001805,8/11/14,C0006,B018IZ0SWI,3.0,1161.54
V000001806,8/11/14,C0009,B01LQV1YHO,1.0,388.14
V000001807,8/11/14,C0001,B015YCRYZM,2.0,962.22
V000001808,8/11/14,C0008,B00F3J4B5S,2.0,824.56
V000001809,8/11/14,C0010,B016381QZA,3.0,1445.82
V000001810,8/11/14,C0013,B01EYT1URO,1.0,313.69
V000001811,8/11/14,C0014,B016381QZA,3.0,1445.82
V000001812,8/11/14,C0016,B00K15Q2B0,2.0,1035.92
V000001813,8/11/14,C0017,B00F3J4B5S,2.0,824.56
V000001814,8/11/14,C0015,B01KBH547A,3.0,725.61
V000001815,8/11/14,C0018,B01EYT1URO,4.0,1254.76
V000001816,8/11/14,C0020,B018IZ0SWI,3.0,1161.54
V000001817,8/11/14,C0023,B016381QZA,2.0,963.88
V000001818,8/11/14,C0025,B00F3J4B5S,1.0,412.28
V000001819,8/11/14,C0026,B018IZ0SWI,2.0,774.36
V000001820,8/11/14,C0027,B01EYT1URO,17.0,5332.73
V000001821,8/11/14,C0028,B00F3J4B5S,3.0,1236.84
V000001822,8/11/14,C0029,B01EYT1URO,2.0,627.38
V000001823,8/11/14,C0030,B018IZ0SWI,2.0,774.36
V000001824,8/11/14,C0022,B018IZ0SWI,13.0,5033.34
V000001825,8/11/14,C0021,B016381QZA,3.0,1445.82
V000001826,8/11/14,C0031,B01LQV1YHO,2.0,776.28
V000001827,8/11/14,C0032,B01KBH547A,2.0,483.74
V000001828,8/11/14,C0033,B00F3J4B5S,2.0,824.56
V000001829,8/11/14,C0034,B018IZ0SWI,9.0,3484.62
V000001830,8/11/14,C0035,B00NQGP42Y,2.0,1135.72
V000001831,8/11/14,C0036,B01KBH547A,2.0,483.74
V000001832,8/11/14,C0037,B01KBH547A,2.0,483.74
V000001833,8/11/14,C0038,B01KBH547A,3.0,725.61
V000001834,8/11/14,C0039,B01KBH547A,3.0,725.61
V000001835,8/11/14,C0040,B01KBH547A,1.0,241.87
V000001836,8/11/14,C0041,B018IZ0SWI,1.0,387.18
V000001837,9/11/14,C0042,B018IZ0SWI,2.0,774.36
V000001838,9/11/14,C0043,B00J0O5J4Y,2.0,804.48
V000001839,9/11/14,C0044,B00K15Q2B0,1.0,517.96
V000001840,9/11/14,C0045,B00F3J4B5S,7.0,2885.96
V000001841,9/11/14,C0046,B00J0O5J4Y,3.0,1206.72
V000001842,9/11/14,C0047,B01KBH547A,1.0,241.87
V000001843,9/11/14,C0048,B01EYT1URO,3.0,941.0699999999999
V000001844,9/11/14,C0049,B00F3J4B5S,1.0,412.28
V000001845,9/11/14,C0050,B016381QZA,16.0,7711.04
V000001846,9/11/14,C0051,B016381QZA,2.0,963.88
V000001847,9/11/14,C0052,B01KBH547A,3.0,725.61
V000001848,9/11/14,C0053,B01DZJFWNC,3.0,715.86
V000001849,9/11/14,C0054,B01KBH547A,1.0,241.87
V000001850,9/11/14,C0055,B00NQGP42Y,3.0,1703.58
V000001851,9/11/14,C0056,B01LQV1YHO,2.0,776.28
V000001852,9/11/14,C0057,B01EYT1URO,2.0,627.38
V000001853,9/11/14,C0058,B01KBH547A,3.0,725.61
V000001854,9/11/14,C0059,B018IZ0SWI,2.0,774.36
V000001855,9/11/14,C0060,B018IZ0SWI,3.0,1161.54
V000001856,9/11/14,C0061,B00F3J4B5S,1.0,412.28
V000001857,9/11/14,C0062,B00NQGP42Y,1.0,567.86
V000001858,9/11/14,C0063,B00NQGP42Y,14.0,7950.04
V000001859,9/11/14,C0064,B01DZJFWNC,3.0,715.86
V000001860,9/11/14,C0065,B01KBH547A,2.0,483.74
V000001861,9/11/14,C0066,B01KBH547A,3.0,725.61
V000001862,9/11/14,C0067,B00NQGP42Y,3.0,1703.58
V000001863,9/11/14,C0068,B01LQV1YHO,1.0,388.14
V000001864,9/11/14,C0069,B00F3J4B5S,2.0,824.56
V000001865,9/11/14,C0070,B01LQV1YHO,2.0,776.28
V000001866,9/11/14,C0002,B01LQV1YHO,2.0,776.28
V000001867,9/11/14,C0012,B00F3J4B5S,3.0,1236.84
V000001868,9/11/14,C0011,B00NQGP42Y,3.0,1703.58
V000001869,9/11/14,C0003,B01KBH547A,3.0,725.61
V000001870,9/11/14,C0019,B00K15Q2B0,2.0,1035.92
V000001871,9/11/14,C0004,B016B7INC2,14.0,3412.92
V000001872,9/11/14,C0024,B01KBH547A,11.0,2660.57
V000001873,9/11/14,C0007,B00K15Q2B0,21.0,10877.16
V000001874,9/11/14,C0005,B00F3J4B5S,2.0,824.56
V000001875,9/11/14,C0006,B018IZ0SWI,2.0,774.36
V000001876,10/11/14,C0009,B00NQGP42Y,2.0,1135.72
V000001877,10/11/14,C0001,B01KBH547A,19.0,4595.53
V000001878,10/11/14,C0008,B018IZ0SWI,7.0,2710.26
V000001879,10/11/14,C0010,B015YCRYZM,2.0,962.22
V000001880,10/11/14,C0013,B00J0O5J4Y,3.0,1206.72
V000001881,10/11/14,C0014,B018IZ0SWI,3.0,1161.54
V000001882,10/11/14,C0016,B018IZ0SWI,2.0,774.36
V000001883,10/11/14,C0017,B00K15Q2B0,4.0,2071.84
V000001884,10/11/14,C0015,B00K15Q2B0,2.0,1035.92
V000001885,10/11/14,C0018,B016B7INC2,3.0,731.34
V000001886,10/11/14,C0020,B00F3J4B5S,2.0,824.56
V000001887,10/11/14,C0023,B01EYT1URO,2.0,627.38
V000001888,10/11/14,C0025,B016B7INC2,1.0,243.78
V000001889,10/11/14,C0026,B00F3J4B5S,2.0,824.56
V000001890,10/11/14,C0027,B01KBH547A,4.0,967.48
V000001891,10/11/14,C0028,B018IZ0SWI,2.0,774.36
V000001892,10/11/14,C0029,B015YCRYZM,1.0,481.11
V000001893,10/11/14,C0030,B016381QZA,2.0,963.88
V000001894,10/11/14,C0022,B018IZ0SWI,2.0,774.36
V000001895,10/11/14,C0021,B01KBH547A,13.0,3144.31
V000001896,10/11/14,C0031,B00K15Q2B0,1.0,517.96
V000001897,10/11/14,C0032,B00NQGP42Y,2.0,1135.72
V000001898,10/11/14,C0033,B016B7INC2,1.0,243.78
V000001899,10/11/14,C0034,B00F3J4B5S,3.0,1236.84
V000001900,10/11/14,C0035,B016B7INC2,20.0,4875.6
V000001901,10/11/14,C0036,B00K15Q2B0,2.0,1035.92
V000001902,10/11/14,C0037,B018IZ0SWI,1.0,387.18
V000001903,10/11/14,C0038,B00J0O5J4Y,3.0,1206.72
V000001904,10/11/14,C0039,B00K15Q2B0,2.0,1035.92
V000001905,10/11/14,C0040,B00F3J4B5S,3.0,1236.84
V000001906,10/11/14,C0041,B00J0O5J4Y,1.0,402.24
V000001907,10/11/14,C0042,B00J0O5J4Y,1.0,402.24
V000001908,10/11/14,C0043,B00NQGP42Y,19.0,10789.34
V000001909,10/11/14,C0044,B00NQGP42Y,3.0,1703.58
V000001910,10/11/14,C0045,B01EYT1URO,3.0,941.0699999999999
V000001911,10/11/14,C0046,B016381QZA,2.0,963.88
V000001912,10/11/14,C0047,B018IZ0SWI,3.0,1161.54
V000001913,10/11/14,C0048,B01DZJFWNC,3.0,715.86
V000001914,10/11/14,C0049,B00NQGP42Y,1.0,567.86
V000001915,10/11/14,C0050,B00NQGP42Y,3.0,1703.58
V000001916,10/11/14,C0051,B018IZ0SWI,1.0,387.18
V000001917,10/11/14,C0052,B01KBH547A,1.0,241.87
V000001918,10/11/14,C0053,B01EYT1URO,1.0,313.69
V000001919,10/11/14,C0054,B01KBH547A,3.0,725.61
V000001920,10/11/14,C0055,B00NQGP42Y,2.0,1135.72
V000001921,10/11/14,C0056,B01KBH547A,1.0,241.87
V000001922,10/11/14,C0057,B00J0O5J4Y,2.0,804.48
V000001923,10/11/14,C0058,B00F3J4B5S,1.0,412.28
V000001924,11/11/14,C0059,B00F3J4B5S,3.0,1236.84
V000001925,11/11/14,C0060,B01LQV1YHO,3.0,1164.42
V000001926,11/11/14,C0061,B00K15Q2B0,1.0,517.96
V000001927,11/11/14,C0062,B018IZ0SWI,1.0,387.18
V000001928,11/11/14,C0063,B00K15Q2B0,2.0,1035.92
V000001929,11/11/14,C0064,B00K15Q2B0,2.0,1035.92
V000001930,11/11/14,C0065,B00NQGP42Y,24.0,13628.64
V000001931,11/11/14,C0066,B00K15Q2B0,1.0,517.96
V000001932,11/11/14,C0067,B00J0O5J4Y,2.0,804.48
V000001933,11/11/14,C0068,B00F3J4B5S,1.0,412.28
V000001934,11/11/14,C0069,B01KBH547A,3.0,725.61
V000001935,11/11/14,C0070,B015YCRYZM,2.0,962.22
V000001936,11/11/14,C0002,B01KBH547A,2.0,483.74
V000001937,11/11/14,C0012,B01KBH547A,2.0,483.74
V000001938,11/11/14,C0011,B01LQV1YHO,1.0,388.14
V000001939,11/11/14,C0003,B01KBH547A,1.0,241.87
V000001940,11/11/14,C0019,B00F3J4B5S,1.0,412.28
V000001941,11/11/14,C0004,B018IZ0SWI,2.0,774.36
V000001942,11/11/14,C0024,B01LQV1YHO,2.0,776.28
V000001943,11/11/14,C0007,B01KBH547A,2.0,483.74
V000001944,11/11/14,C0005,B00NQGP42Y,3.0,1703.58
V000001945,11/11/14,C0006,B00F3J4B5S,3.0,1236.84
V000001946,11/11/14,C0009,B00F3J4B5S,1.0,412.28
V000001947,11/11/14,C0001,B01LQV1YHO,2.0,776.28
V000001948,11/11/14,C0008,B01LQV1YHO,3.0,1164.42
V000001949,11/11/14,C0010,B018IZ0SWI,1.0,387.18
V000001950,11/11/14,C0013,B016381QZA,2.0,963.88
V000001951,11/11/14,C0014,B01EYT1URO,3.0,941.0699999999999
V000001952,11/11/14,C0016,B00K15Q2B0,1.0,517.96
V000001953,11/11/14,C0017,B01LQV1YHO,1.0,388.14
V000001954,11/11/14,C0015,B00F3J4B5S,1.0,412.28
V000001955,11/11/14,C0018,B01LQV1YHO,3.0,1164.42
V000001956,11/11/14,C0020,B016381QZA,2.0,963.88
V000001957,11/11/14,C0023,B018IZ0SWI,2.0,774.36
V000001958,11/11/14,C0025,B015YCRYZM,2.0,962.22
V000001959,11/11/14,C0026,B01LQV1YHO,1.0,388.14
V000001960,11/11/14,C0027,B01DZJFWNC,17.0,4056.54
V000001961,11/11/14,C0028,B015YCRYZM,1.0,481.11
V000001962,11/11/14,C0029,B00F3J4B5S,2.0,824.56
V000001963,11/11/14,C0030,B01LQV1YHO,3.0,1164.42
V000001964,11/11/14,C0022,B018IZ0SWI,2.0,774.36
V000001965,11/11/14,C0021,B00K15Q2B0,2.0,1035.92
V000001966,11/11/14,C0031,B00NQGP42Y,2.0,1135.72
V000001967,11/11/14,C0032,B00K15Q2B0,2.0,1035.92
V000001968,11/11/14,C0033,B00K15Q2B0,3.0,1553.88
V000001969,11/11/14,C0034,B01KBH547A,2.0,483.74
V000001970,11/11/14,C0035,B016381QZA,2.0,963.88
V000001971,11/11/14,C0036,B01LQV1YHO,2.0,776.28
V000001972,11/11/14,C0037,B018IZ0SWI,3.0,1161.54
V000001973,11/11/14,C0038,B00K15Q2B0,2.0,1035.92
V000001974,11/11/14,C0039,B01DZJFWNC,1.0,238.62
V000001975,11/11/14,C0040,B00F3J4B5S,3.0,1236.84
V000001976,11/11/14,C0041,B015YCRYZM,1.0,481.11
V000001977,11/11/14,C0042,B018IZ0SWI,3.0,1161.54
V000001978,11/11/14,C0043,B018IZ0SWI,3.0,1161.54
V000001979,11/11/14,C0044,B00F3J4B5S,2.0,824.56
V000001980,11/11/14,C0045,B01EYT1URO,3.0,941.0699999999999
V000001981,11/11/14,C0046,B01EYT1URO,3.0,941.0699999999999
V000001982,11/11/14,C0047,B00F3J4B5S,2.0,824.56
V000001983,11/11/14,C0048,B016381QZA,2.0,963.88
V000001984,11/11/14,C0049,B016381QZA,2.0,963.88
V000001985,11/11/14,C0050,B00NQGP42Y,1.0,567.86
V000001986,11/11/14,C0051,B01KBH547A,3.0,725.61
V000001987,12/11/14,C0052,B016381QZA,2.0,963.88
V000001988,12/11/14,C0053,B00K15Q2B0,1.0,517.96
V000001989,12/11/14,C0054,B01KBH547A,1.0,241.87
V000001990,12/11/14,C0055,B00NQGP42Y,2.0,1135.72
V000001991,12/11/14,C0056,B00K15Q2B0,3.0,1553.88
V000001992,12/11/14,C0057,B00K15Q2B0,3.0,1553.88
V000001993,12/11/14,C0058,B01LQV1YHO,2.0,776.28
V000001994,12/11/14,C0059,B00NQGP42Y,1.0,567.86
V000001995,12/11/14,C0060,B00F3J4B5S,22.0,9070.16
V000001996,12/11/14,C0061,B00F3J4B5S,2.0,824.56
V000001997,12/11/14,C0062,B00F3J4B5S,3.0,1236.84
V000001998,12/11/14,C0063,B00NQGP42Y,18.0,10221.48
V000001999,12/11/14,C0064,B00J0O5J4Y,2.0,804.48
V000002000,12/11/14,C0065,B018IZ0SWI,1.0,387.18
V000002001,12/11/14,C0066,B016381QZA,1.0,481.94
V000002002,12/11/14,C0067,B00K15Q2B0,3.0,1553.88
V000002003,12/11/14,C0068,B00F3J4B5S,2.0,824.56
V000002004,12/11/14,C0069,B00NQGP42Y,1.0,567.86
V000002005,12/11/14,C0070,B015YCRYZM,3.0,1443.33
V000002006,12/11/14,C0002,B00NQGP42Y,2.0,1135.72
V000002007,12/11/14,C0012,B01DZJFWNC,17.0,4056.54
V000002008,12/11/14,C0011,B00NQGP42Y,3.0,1703.58
V000002009,12/11/14,C0003,B00J0O5J4Y,2.0,804.48
V000002010,12/11/14,C0019,B01DZJFWNC,3.0,715.86
V000002011,12/11/14,C0004,B018IZ0SWI,3.0,1161.54
V000002012,12/11/14,C0024,B015YCRYZM,1.0,481.11
V000002013,12/11/14,C0007,B01KBH547A,1.0,241.87
V000002014,12/11/14,C0005,B018IZ0SWI,2.0,774.36
V000002015,12/11/14,C0006,B018IZ0SWI,3.0,1161.54
V000002016,12/11/14,C0009,B01DZJFWNC,2.0,477.24
V000002017,12/11/14,C0001,B01KBH547A,1.0,241.87
V000002018,12/11/14,C0008,B01DZJFWNC,1.0,238.62
V000002019,12/11/14,C0010,B01LQV1YHO,3.0,1164.42
V000002020,12/11/14,C0013,B018IZ0SWI,1.0,387.18
V000002021,12/11/14,C0014,B00NQGP42Y,1.0,567.86
V000002022,12/11/14,C0016,B00J0O5J4Y,3.0,1206.72
V000002023,12/11/14,C0017,B01KBH547A,2.0,483.74
V000002024,12/11/14,C0015,B01KBH547A,2.0,483.74
V000002025,12/11/14,C0018,B01KBH547A,1.0,241.87
V000002026,12/11/14,C0020,B016B7INC2,1.0,243.78
V000002027,12/11/14,C0023,B016381QZA,2.0,963.88
V000002028,12/11/14,C0025,B016381QZA,3.0,1445.82
V000002029,12/11/14,C0026,B01LQV1YHO,2.0,776.28
V000002030,12/11/14,C0027,B015YCRYZM,2.0,962.22
V000002031,12/11/14,C0028,B00J0O5J4Y,4.0,1608.96
V000002032,12/11/14,C0029,B00K15Q2B0,2.0,1035.92
V000002033,12/11/14,C0030,B01EYT1URO,2.0,627.38
V000002034,12/11/14,C0022,B00F3J4B5S,2.0,824.56
V000002035,12/11/14,C0021,B016381QZA,2.0,963.88
V000002036,12/11/14,C0031,B01DZJFWNC,3.0,715.86
V000002037,12/11/14,C0032,B018IZ0SWI,2.0,774.36
V000002038,12/11/14,C0033,B00NQGP42Y,3.0,1703.58
V000002039,12/11/14,C0034,B00F3J4B5S,3.0,1236.84
V000002040,12/11/14,C0035,B018IZ0SWI,2.0,774.36
V000002041,12/11/14,C0036,B01DZJFWNC,1.0,238.62
V000002042,12/11/14,C0037,B016B7INC2,2.0,487.56
V000002043,13/11/14,C0038,B01EYT1URO,3.0,941.0699999999999
V000002044,13/11/14,C0039,B016381QZA,2.0,963.88
V000002045,13/11/14,C0040,B018IZ0SWI,3.0,1161.54
V000002046,13/11/14,C0041,B016381QZA,2.0,963.88
V000002047,13/11/14,C0042,B01EYT1URO,24.0,7528.5599999999995
V000002048,13/11/14,C0043,B018IZ0SWI,2.0,774.36
V000002049,13/11/14,C0044,B015YCRYZM,2.0,962.22
V000002050,13/11/14,C0045,B00K15Q2B0,1.0,517.96
V000002051,13/11/14,C0046,B01LQV1YHO,1.0,388.14
V000002052,13/11/14,C0047,B01KBH547A,1.0,241.87
V000002053,13/11/14,C0048,B00K15Q2B0,1.0,517.96
V000002054,13/11/14,C0049,B00K15Q2B0,3.0,1553.88
V000002055,13/11/14,C0050,B01DZJFWNC,1.0,238.62
V000002056,13/11/14,C0051,B015YCRYZM,10.0,4811.1
V000002057,13/11/14,C0052,B01KBH547A,3.0,725.61
V000002058,13/11/14,C0053,B01KBH547A,21.0,5079.27
V000002059,13/11/14,C0054,B01LQV1YHO,1.0,388.14
V000002060,13/11/14,C0055,B015YCRYZM,4.0,1924.44
V000002061,13/11/14,C0056,B00F3J4B5S,2.0,824.56
V000002062,13/11/14,C0057,B01KBH547A,2.0,483.74
V000002063,13/11/14,C0058,B00NQGP42Y,17.0,9653.62
V000002064,13/11/14,C0059,B00K15Q2B0,2.0,1035.92
V000002065,13/11/14,C0060,B01DZJFWNC,1.0,238.62
V000002066,13/11/14,C0061,B01KBH547A,3.0,725.61
V000002067,13/11/14,C0062,B016B7INC2,2.0,487.56
V000002068,13/11/14,C0063,B018IZ0SWI,2.0,774.36
V000002069,13/11/14,C0064,B00J0O5J4Y,3.0,1206.72
V000002070,13/11/14,C0065,B015YCRYZM,1.0,481.11
V000002071,13/11/14,C0066,B00K15Q2B0,1.0,517.96
V000002072,13/11/14,C0067,B01LQV1YHO,2.0,776.28
V000002073,13/11/14,C0068,B01DZJFWNC,2.0,477.24
V000002074,13/11/14,C0069,B00K15Q2B0,3.0,1553.88
V000002075,13/11/14,C0070,B015YCRYZM,4.0,1924.44
V000002076,13/11/14,C0002,B018IZ0SWI,2.0,774.36
V000002077,13/11/14,C0012,B01EYT1URO,24.0,7528.5599999999995
V000002078,13/11/14,C0011,B018IZ0SWI,3.0,1161.54
V000002079,13/11/14,C0003,B00F3J4B5S,2.0,824.56
V000002080,13/11/14,C0019,B01KBH547A,1.0,241.87
V000002081,13/11/14,C0004,B00F3J4B5S,5.0,2061.3999999999996
V000002082,13/11/14,C0024,B01DZJFWNC,1.0,238.62
V000002083,13/11/14,C0007,B00F3J4B5S,2.0,824.56
V000002084,13/11/14,C0005,B00J0O5J4Y,2.0,804.48
V000002085,13/11/14,C0000,B00J0O5J4Y,23.0,9251.52
V000002086,13/11/14,C0001,B018IZ0SWI,9.0,3484.62
V000002087,14/11/14,C0002,B01EYT1URO,3.0,941.0699999999999
V000002088,14/11/14,C0003,B00F3J4B5S,5.0,2061.3999999999996
V000002089,14/11/14,C0004,B01KBH547A,2.0,483.74
V000002090,14/11/14,C0005,B00K15Q2B0,2.0,1035.92
V000002091,14/11/14,C0006,B01DZJFWNC,13.0,3102.06
V000002092,14/11/14,C0007,B016B7INC2,18.0,4388.04
V000002093,14/11/14,C0008,B01EYT1URO,3.0,941.0699999999999
V000002094,14/11/14,C0009,B018IZ0SWI,2.0,774.36
V000002095,14/11/14,C0010,B00NQGP42Y,2.0,1135.72
V000002096,14/11/14,C0011,B00F3J4B5S,4.0,1649.12
V000002097,14/11/14,C0012,B01KBH547A,3.0,725.61
V000002098,14/11/14,C0013,B00F3J4B5S,3.0,1236.84
