código_venta,fecha,códigocliente,códigoproducto,unidades_predichas,preciototal
V000080128,2025-03-06,C0061,B015YCRYZM,1,481.11
V000080129,2025-03-06,C0060,B01KBH547A,1,241.87
V000080130,2025-03-06,C0024,B01DZJFWNC,4,954.48
V000080131,2025-03-07,C0041,B01KBH547A,1,241.87
V000080132,2025-03-07,C0017,B01KBH547A,6,1451.22
V000080133,2025-03-07,C0024,B018IZ0SWI,3,1161.54
V000080134,2025-03-07,C0041,B00NQGP42Y,4,2271.44
V000080135,2025-03-07,C0048,B00NQGP42Y,1,567.86
V000080136,2025-03-08,C0051,B01KBH547A,12,2902.44
V000080137,2025-03-08,C0001,B01KBH547A,5,1209.35
V000080138,2025-03-08,C0057,B018IZ0SWI,5,1935.9
V000080139,2025-03-08,C0051,B018IZ0SWI,2,774.36
V000080140,2025-03-08,C0037,B01DZJFWNC,3,715.86
V000080141,2025-03-09,C0022,B018IZ0SWI,2,774.36
V000080142,2025-03-09,C0054,B00F3J4B5S,4,1649.12
V000080143,2025-03-10,C0070,B018IZ0SWI,2,774.36
V000080144,2025-03-10,C0016,B018IZ0SWI,4,1548.72
V000080145,2025-03-10,C0005,B018IZ0SWI,1,387.18
V000080146,2025-03-10,C0033,B01LQV1YHO,8,3105.12
V000080147,2025-03-10,C0022,B01DZJFWNC,6,1431.72
V000080148,2025-03-11,C0061,B00K15Q2B0,5,2589.8
V000080149,2025-03-11,C0003,B00F3J4B5S,6,2473.68
V000080150,2025-03-11,C0038,B018IZ0SWI,4,1548.72
V000080151,2025-03-11,C0012,B01KBH547A,7,1693.0900000000001
V000080152,2025-03-11,C0017,B00F3J4B5S,3,1236.84
V000080153,2025-03-11,C0058,B016381QZA,9,4337.46
V000080154,2025-03-11,C0026,B01LQV1YHO,5,1940.6999999999998
V000080155,2025-03-11,C0065,B00K15Q2B0,4,2071.84
V000080156,2025-03-11,C0065,B01EYT1URO,3,941.0699999999999
V000080157,2025-03-12,C0049,B00K15Q2B0,4,2071.84
V000080158,2025-03-12,C0046,B018IZ0SWI,3,1161.54
V000080159,2025-03-12,C0061,B00F3J4B5S,4,1649.12
V000080160,2025-03-12,C0009,B01EYT1URO,1,313.69
V000080161,2025-03-12,C0009,B00NQGP42Y,1,567.86
V000080162,2025-03-12,C0057,B00F3J4B5S,5,2061.3999999999996
V000080163,2025-03-13,C0055,B016B7INC2,1,243.78
V000080164,2025-03-13,C0042,B00NQGP42Y,2,1135.72
V000080165,2025-03-13,C0025,B00NQGP42Y,1,567.86
V000080166,2025-03-13,C0011,B01KBH547A,6,1451.22
V000080167,2025-03-14,C0005,B00K15Q2B0,3,1553.88
V000080168,2025-03-14,C0070,B00NQGP42Y,9,5110.74
V000080169,2025-03-14,C0048,B00K15Q2B0,1,517.96
V000080170,2025-03-14,C0037,B00K15Q2B0,5,2589.8
V000080171,2025-03-14,C0022,B01LQV1YHO,1,388.14
V000080172,2025-03-14,C0069,B00F3J4B5S,1,412.28
V000080173,2025-03-14,C0021,B00F3J4B5S,2,824.56
V000080174,2025-03-14,C0006,B00NQGP42Y,6,3407.16
V000080175,2025-03-14,C0062,B015YCRYZM,4,1924.44
V000080176,2025-03-14,C0037,B015YCRYZM,1,481.11
V000080177,2025-03-15,C0003,B00K15Q2B0,4,2071.84
V000080178,2025-03-15,C0013,B01LQV1YHO,4,1552.56
V000080179,2025-03-15,C0016,B01KBH547A,3,725.61
V000080180,2025-03-15,C0019,B01KBH547A,8,1934.96
V000080181,2025-03-15,C0044,B018IZ0SWI,6,2323.08
V000080182,2025-03-16,C0009,B01LQV1YHO,5,1940.6999999999998
V000080183,2025-03-16,C0020,B01KBH547A,1,241.87
V000080184,2025-03-17,C0003,B01DZJFWNC,5,1193.1
V000080185,2025-03-17,C0061,B016381QZA,3,1445.82
V000080186,2025-03-17,C0067,B01DZJFWNC,2,477.24
V000080187,2025-03-17,C0054,B01KBH547A,1,241.87
V000080188,2025-03-17,C0001,B01DZJFWNC,7,1670.3400000000001
V000080189,2025-03-18,C0053,B018IZ0SWI,4,1548.72
V000080190,2025-03-18,C0039,B01DZJFWNC,3,715.86
V000080191,2025-03-18,C0018,B01DZJFWNC,5,1193.1
V000080192,2025-03-18,C0043,B015YCRYZM,3,1443.33
V000080193,2025-03-18,C0036,B018IZ0SWI,3,1161.54
V000080194,2025-03-19,C0002,B00NQGP42Y,5,2839.3
V000080195,2025-03-19,C0049,B01EYT1URO,5,1568.45
V000080196,2025-03-19,C0023,B01DZJFWNC,2,477.24
V000080197,2025-03-19,C0047,B00F3J4B5S,5,2061.3999999999996
V000080198,2025-03-19,C0025,B00K15Q2B0,11,5697.56
V000080199,2025-03-20,C0065,B015YCRYZM,1,481.11
V000080200,2025-03-20,C0063,B018IZ0SWI,2,774.36
V000080201,2025-03-20,C0048,B00F3J4B5S,5,2061.3999999999996
V000080202,2025-03-20,C0012,B00NQGP42Y,1,567.86
V000080203,2025-03-20,C0008,B00K15Q2B0,5,2589.8
V000080204,2025-03-20,C0065,B00F3J4B5S,7,2885.96
V000080205,2025-03-20,C0034,B01DZJFWNC,2,477.24
V000080206,2025-03-21,C0034,B01KBH547A,1,241.87
V000080207,2025-03-21,C0001,B018IZ0SWI,3,1161.54
V000080208,2025-03-21,C0007,B01DZJFWNC,4,954.48
V000080209,2025-03-21,C0011,B00NQGP42Y,3,1703.58
V000080210,2025-03-22,C0000,B01KBH547A,2,483.74
V000080211,2025-03-22,C0050,B00K15Q2B0,8,4143.68
V000080212,2025-03-22,C0012,B018IZ0SWI,2,774.36
V000080213,2025-03-22,C0061,B018IZ0SWI,4,1548.72
V000080214,2025-03-22,C0053,B01KBH547A,1,241.87
V000080215,2025-03-22,C0003,B018IZ0SWI,5,1935.9
V000080216,2025-03-22,C0024,B00NQGP42Y,5,2839.3
V000080217,2025-03-23,C0018,B00NQGP42Y,5,2839.3
V000080218,2025-03-23,C0068,B01KBH547A,4,967.48
V000080219,2025-03-23,C0052,B018IZ0SWI,7,2710.26
V000080220,2025-03-23,C0038,B016381QZA,4,1927.76
V000080221,2025-03-23,C0033,B00NQGP42Y,4,2271.44
V000080222,2025-03-23,C0029,B00NQGP42Y,2,1135.72
V000080223,2025-03-24,C0067,B016381QZA,2,963.88
V000080224,2025-03-24,C0069,B00NQGP42Y,1,567.86
V000080225,2025-03-24,C0045,B018IZ0SWI,3,1161.54
V000080226,2025-03-25,C0035,B00F3J4B5S,5,2061.3999999999996
V000080227,2025-03-25,C0024,B00K15Q2B0,5,2589.8
V000080228,2025-03-25,C0002,B01EYT1URO,1,313.69
V000080229,2025-03-25,C0029,B018IZ0SWI,2,774.36
V000080230,2025-03-25,C0058,B01LQV1YHO,4,1552.56
V000080231,2025-03-25,C0012,B016381QZA,1,481.94
V000080232,2025-03-25,C0059,B01KBH547A,3,725.61
V000080233,2025-03-26,C0060,B00NQGP42Y,2,1135.72
V000080234,2025-03-26,C0041,B00F3J4B5S,2,824.56
V000080235,2025-03-26,C0029,B01KBH547A,3,725.61
V000080236,2025-03-26,C0013,B00K15Q2B0,8,4143.68
V000080237,2025-03-27,C0027,B00NQGP42Y,2,1135.72
V000080238,2025-03-27,C0022,B01KBH547A,4,967.48
V000080239,2025-03-27,C0023,B018IZ0SWI,4,1548.72
V000080240,2025-03-27,C0022,B00K15Q2B0,3,1553.88
V000080241,2025-04-01,C0006,B016B7INC2,3,731.34
V000080242,2025-04-01,C0008,B018IZ0SWI,6,2323.08
V000080243,2025-04-01,C0055,B00F3J4B5S,2,824.56
V000080244,2025-04-01,C0070,B01LQV1YHO,1,388.14
V000080245,2025-04-01,C0038,B00NQGP42Y,2,1135.72
V000080246,2025-04-01,C0038,B015YCRYZM,7,3367.77
V000080247,2025-04-01,C0057,B01KBH547A,3,725.61
V000080248,2025-04-02,C0021,B015YCRYZM,4,1924.44
V000080249,2025-04-02,C0011,B01KBH547A,8,1934.96
V000080250,2025-04-02,C0024,B00K15Q2B0,1,517.96
V000080251,2025-04-02,C0063,B00F3J4B5S,1,412.28
V000080252,2025-04-02,C0036,B018IZ0SWI,1,387.18
V000080253,2025-04-03,C0019,B018IZ0SWI,4,1548.72
V000080254,2025-04-03,C0050,B00K15Q2B0,2,1035.92
V000080255,2025-04-03,C0026,B01KBH547A,2,483.74
V000080256,2025-04-03,C0040,B01LQV1YHO,1,388.14
V000080257,2025-04-04,C0067,B00F3J4B5S,2,824.56
V000080258,2025-04-04,C0056,B00F3J4B5S,1,412.28
V000080259,2025-04-05,C0006,B01KBH547A,1,241.87
V000080260,2025-04-05,C0001,B018IZ0SWI,4,1548.72
V000080261,2025-04-05,C0007,B00K15Q2B0,9,4661.64
V000080262,2025-04-05,C0058,B00K15Q2B0,2,1035.92
V000080263,2025-04-05,C0052,B018IZ0SWI,3,1161.54
V000080264,2025-04-06,C0047,B018IZ0SWI,1,387.18
V000080265,2025-04-06,C0037,B016B7INC2,6,1462.68
V000080266,2025-04-06,C0061,B016381QZA,1,481.94
V000080267,2025-04-07,C0026,B00NQGP42Y,2,1135.72
V000080268,2025-04-07,C0041,B00F3J4B5S,5,2061.3999999999996
V000080269,2025-04-07,C0005,B01KBH547A,4,967.48
V000080270,2025-04-07,C0070,B018IZ0SWI,5,1935.9
V000080271,2025-04-07,C0022,B01EYT1URO,5,1568.45
V000080272,2025-04-07,C0033,B016381QZA,5,2409.7
V000080273,2025-04-08,C0046,B01KBH547A,2,483.74
V000080274,2025-04-08,C0053,B00F3J4B5S,1,412.28
V000080275,2025-04-08,C0034,B00K15Q2B0,9,4661.64
V000080276,2025-04-08,C0043,B016B7INC2,5,1218.9
V000080277,2025-04-08,C0028,B00K15Q2B0,4,2071.84
V000080278,2025-04-08,C0030,B00F3J4B5S,3,1236.84
V000080279,2025-04-09,C0034,B018IZ0SWI,2,774.36
V000080280,2025-04-09,C0011,B00K15Q2B0,5,2589.8
V000080281,2025-04-09,C0041,B00NQGP42Y,1,567.86
V000080282,2025-04-10,C0050,B00NQGP42Y,3,1703.58
V000080283,2025-04-10,C0063,B018IZ0SWI,6,2323.08
V000080284,2025-04-10,C0006,B018IZ0SWI,3,1161.54
V000080285,2025-04-10,C0042,B01EYT1URO,4,1254.76
V000080286,2025-04-10,C0033,B00K15Q2B0,2,1035.92
V000080287,2025-04-10,C0068,B018IZ0SWI,2,774.36
V000080288,2025-04-11,C0056,B00NQGP42Y,3,1703.58
V000080289,2025-04-11,C0007,B01KBH547A,3,725.61
V000080290,2025-04-11,C0051,B01DZJFWNC,3,715.86
V000080291,2025-04-11,C0011,B00F3J4B5S,2,824.56
V000080292,2025-04-11,C0017,B016381QZA,6,2891.64
V000080293,2025-04-11,C0058,B00NQGP42Y,11,6246.46
V000080294,2025-04-12,C0003,B00F3J4B5S,7,2885.96
V000080295,2025-04-12,C0045,B00NQGP42Y,7,3975.02
V000080296,2025-04-12,C0047,B00F3J4B5S,1,412.28
V000080297,2025-04-12,C0056,B00K15Q2B0,2,1035.92
V000080298,2025-04-12,C0011,B016381QZA,4,1927.76
V000080299,2025-04-13,C0009,B00F3J4B5S,1,412.28
V000080300,2025-04-13,C0024,B018IZ0SWI,2,774.36
V000080301,2025-04-13,C0050,B018IZ0SWI,4,1548.72
V000080302,2025-04-13,C0045,B016381QZA,4,1927.76
V000080303,2025-04-13,C0014,B01KBH547A,1,241.87
V000080304,2025-04-13,C0063,B00J0O5J4Y,3,1206.72
V000080305,2025-04-14,C0064,B01KBH547A,1,241.87
V000080306,2025-04-14,C0070,B00K15Q2B0,2,1035.92
V000080307,2025-04-14,C0003,B01KBH547A,12,2902.44
V000080308,2025-04-14,C0026,B018IZ0SWI,6,2323.08
V000080309,2025-04-14,C0003,B00NQGP42Y,4,2271.44
V000080310,2025-04-14,C0013,B00K15Q2B0,3,1553.88
V000080311,2025-04-14,C0015,B018IZ0SWI,5,1935.9
V000080312,2025-04-14,C0002,B016381QZA,1,481.94
V000080313,2025-04-14,C0057,B00K15Q2B0,1,517.96
V000080314,2025-04-15,C0041,B018IZ0SWI,3,1161.54
V000080315,2025-04-15,C0026,B01LQV1YHO,7,2716.98
V000080316,2025-04-15,C0055,B01LQV1YHO,1,388.14
V000080317,2025-04-15,C0000,B00F3J4B5S,2,824.56
V000080318,2025-04-16,C0062,B018IZ0SWI,4,1548.72
V000080319,2025-04-16,C0030,B00NQGP42Y,2,1135.72
V000080320,2025-04-16,C0046,B00NQGP42Y,5,2839.3
V000080321,2025-04-16,C0066,B018IZ0SWI,2,774.36
V000080322,2025-04-16,C0060,B01EYT1URO,1,313.69
V000080323,2025-04-16,C0014,B01EYT1URO,3,941.0699999999999
V000080324,2025-04-16,C0050,B016381QZA,1,481.94
V000080325,2025-04-16,C0040,B00F3J4B5S,5,2061.3999999999996
V000080326,2025-04-17,C0022,B00NQGP42Y,2,1135.72
V000080327,2025-04-17,C0058,B018IZ0SWI,3,1161.54
V000080328,2025-04-17,C0066,B01LQV1YHO,1,388.14
V000080329,2025-04-17,C0001,B00K15Q2B0,5,2589.8
V000080330,2025-04-17,C0023,B01LQV1YHO,1,388.14
V000080331,2025-04-17,C0039,B018IZ0SWI,9,3484.62
V000080332,2025-04-17,C0055,B01KBH547A,3,725.61
V000080333,2025-04-17,C0043,B018IZ0SWI,4,1548.72
V000080334,2025-04-17,C0021,B01KBH547A,8,1934.96
V000080335,2025-04-18,C0042,B00K15Q2B0,13,6733.4800000000005
V000080336,2025-04-18,C0043,B016381QZA,1,481.94
V000080337,2025-04-18,C0050,B01KBH547A,7,1693.0900000000001
V000080338,2025-04-18,C0011,B018IZ0SWI,4,1548.72
V000080339,2025-04-18,C0056,B018IZ0SWI,1,387.18
V000080340,2025-04-18,C0009,B00K15Q2B0,2,1035.92
V000080341,2025-04-19,C0040,B00NQGP42Y,13,7382.18
V000080342,2025-04-19,C0005,B00NQGP42Y,4,2271.44
V000080343,2025-04-19,C0032,B00K15Q2B0,3,1553.88
V000080344,2025-04-19,C0013,B018IZ0SWI,2,774.36
V000080345,2025-04-19,C0044,B01KBH547A,6,1451.22
V000080346,2025-04-19,C0042,B01KBH547A,1,241.87
V000080347,2025-04-19,C0018,B01DZJFWNC,2,477.24
V000080348,2025-04-20,C0051,B01KBH547A,2,483.74
V000080349,2025-04-20,C0054,B018IZ0SWI,1,387.18
V000080350,2025-04-20,C0016,B018IZ0SWI,1,387.18
V000080351,2025-04-20,C0023,B016381QZA,3,1445.82
V000080352,2025-04-20,C0027,B00NQGP42Y,2,1135.72
V000080353,2025-04-20,C0070,B00F3J4B5S,5,2061.3999999999996
V000080354,2025-04-20,C0068,B01KBH547A,6,1451.22
V000080355,2025-04-20,C0065,B00F3J4B5S,4,1649.12
V000080356,2025-04-21,C0034,B01KBH547A,7,1693.0900000000001
V000080357,2025-04-21,C0038,B01KBH547A,4,967.48
V000080358,2025-04-21,C0068,B00F3J4B5S,3,1236.84
V000080359,2025-04-21,C0047,B00K15Q2B0,3,1553.88
V000080360,2025-04-21,C0020,B00K15Q2B0,6,3107.76
V000080361,2025-04-21,C0027,B01EYT1URO,4,1254.76
V000080362,2025-04-21,C0014,B00F3J4B5S,2,824.56
V000080363,2025-04-21,C0020,B00F3J4B5S,1,412.28
V000080364,2025-04-21,C0001,B01KBH547A,3,725.61
V000080365,2025-04-21,C0015,B01KBH547A,1,241.87
V000080366,2025-04-21,C0007,B01DZJFWNC,2,477.24
V000080367,2025-04-22,C0043,B00K15Q2B0,1,517.96
V000080368,2025-04-22,C0040,B018IZ0SWI,6,2323.08
V000080369,2025-04-22,C0022,B016381QZA,4,1927.76
V000080370,2025-04-22,C0013,B00F3J4B5S,5,2061.3999999999996
V000080371,2025-04-22,C0010,B016381QZA,4,1927.76
V000080372,2025-04-23,C0038,B018IZ0SWI,1,387.18
V000080373,2025-04-23,C0059,B018IZ0SWI,1,387.18
V000080374,2025-04-23,C0042,B00J0O5J4Y,5,2011.2
V000080375,2025-04-23,C0059,B00NQGP42Y,2,1135.72
V000080376,2025-04-23,C0035,B01KBH547A,5,1209.35
V000080377,2025-04-23,C0033,B01EYT1URO,11,3450.59
V000080378,2025-04-23,C0039,B00K15Q2B0,9,4661.64
V000080379,2025-04-23,C0070,B01KBH547A,4,967.48
V000080380,2025-04-24,C0066,B01DZJFWNC,2,477.24
V000080381,2025-04-24,C0055,B018IZ0SWI,4,1548.72
V000080382,2025-04-24,C0005,B00K15Q2B0,4,2071.84
V000080383,2025-04-24,C0014,B00NQGP42Y,8,4542.88
V000080384,2025-04-24,C0046,B018IZ0SWI,7,2710.26
V000080385,2025-04-24,C0064,B01LQV1YHO,5,1940.6999999999998
V000080386,2025-04-24,C0039,B01LQV1YHO,5,1940.6999999999998
V000080387,2025-04-24,C0045,B01KBH547A,5,1209.35
V000080388,2025-04-25,C0026,B00K15Q2B0,4,2071.84
V000080389,2025-04-25,C0023,B01KBH547A,5,1209.35
V000080390,2025-04-25,C0025,B018IZ0SWI,1,387.18
V000080391,2025-04-26,C0068,B00K15Q2B0,5,2589.8
V000080392,2025-04-26,C0009,B00NQGP42Y,1,567.86
V000080393,2025-04-26,C0003,B00K15Q2B0,3,1553.88
V000080394,2025-04-26,C0048,B00NQGP42Y,2,1135.72
V000080395,2025-04-27,C0047,B00NQGP42Y,3,1703.58
V000080396,2025-04-27,C0039,B00F3J4B5S,1,412.28
V000080397,2025-04-27,C0008,B00F3J4B5S,5,2061.3999999999996
V000080398,2025-04-27,C0037,B018IZ0SWI,1,387.18
V000080399,2025-04-27,C0034,B00NQGP42Y,5,2839.3
V000080400,2025-04-27,C0012,B018IZ0SWI,1,387.18
V000080401,2025-04-27,C0006,B01DZJFWNC,1,238.62
V000080402,2025-04-27,C0059,B00F3J4B5S,3,1236.84
V000080403,2025-04-28,C0058,B016B7INC2,3,731.34
V000080404,2025-04-28,C0039,B00NQGP42Y,2,1135.72
V000080405,2025-04-28,C0016,B00K15Q2B0,6,3107.76
V000080406,2025-04-28,C0054,B01EYT1URO,4,1254.76
V000080407,2025-04-28,C0016,B00F3J4B5S,1,412.28
V000080408,2025-04-28,C0014,B018IZ0SWI,2,774.36
V000080409,2025-04-28,C0003,B01LQV1YHO,1,388.14
V000080410,2025-04-28,C0062,B00F3J4B5S,3,1236.84
V000080411,2025-05-01,C0002,B00K15Q2B0,4,2071.84
V000080412,2025-05-01,C0057,B00NQGP42Y,6,3407.16
V000080413,2025-05-01,C0048,B00K15Q2B0,11,5697.56
V000080414,2025-05-01,C0039,B00NQGP42Y,1,567.86
V000080415,2025-05-01,C0006,B018IZ0SWI,12,4646.16
V000080416,2025-05-01,C0034,B01KBH547A,4,967.48
V000080417,2025-05-01,C0031,B00K15Q2B0,2,1035.92
V000080418,2025-05-01,C0008,B01KBH547A,4,967.48
V000080419,2025-05-02,C0055,B00J0O5J4Y,5,2011.2
V000080420,2025-05-02,C0015,B01DZJFWNC,2,477.24
V000080421,2025-05-02,C0046,B00NQGP42Y,2,1135.72
V000080422,2025-05-02,C0016,B018IZ0SWI,3,1161.54
V000080423,2025-05-02,C0039,B00K15Q2B0,1,517.96
V000080424,2025-05-02,C0034,B00NQGP42Y,2,1135.72
V000080425,2025-05-02,C0001,B018IZ0SWI,2,774.36
V000080426,2025-05-02,C0022,B018IZ0SWI,7,2710.26
V000080427,2025-05-02,C0026,B016B7INC2,1,243.78
V000080428,2025-05-03,C0053,B00K15Q2B0,4,2071.84
V000080429,2025-05-03,C0065,B01KBH547A,4,967.48
V000080430,2025-05-03,C0056,B00K15Q2B0,1,517.96
V000080431,2025-05-03,C0061,B018IZ0SWI,8,3097.44
V000080432,2025-05-03,C0057,B00F3J4B5S,4,1649.12
V000080433,2025-05-03,C0037,B018IZ0SWI,7,2710.26
V000080434,2025-05-03,C0035,B01KBH547A,1,241.87
V000080435,2025-05-03,C0004,B00F3J4B5S,5,2061.3999999999996
V000080436,2025-05-03,C0008,B00NQGP42Y,3,1703.58
V000080437,2025-05-04,C0024,B00K15Q2B0,2,1035.92
V000080438,2025-05-04,C0065,B00F3J4B5S,3,1236.84
V000080439,2025-05-04,C0022,B00K15Q2B0,4,2071.84
V000080440,2025-05-04,C0025,B016381QZA,3,1445.82
V000080441,2025-05-04,C0052,B01LQV1YHO,2,776.28
V000080442,2025-05-04,C0011,B018IZ0SWI,6,2323.08
V000080443,2025-05-04,C0065,B018IZ0SWI,6,2323.08
V000080444,2025-05-04,C0008,B00K15Q2B0,8,4143.68
V000080445,2025-05-04,C0049,B01EYT1URO,3,941.0699999999999
V000080446,2025-05-05,C0029,B018IZ0SWI,1,387.18
V000080447,2025-05-05,C0006,B00NQGP42Y,2,1135.72
V000080448,2025-05-05,C0028,B01KBH547A,4,967.48
V000080449,2025-05-05,C0055,B00K15Q2B0,5,2589.8
V000080450,2025-05-05,C0032,B00F3J4B5S,6,2473.68
V000080451,2025-05-05,C0040,B00NQGP42Y,9,5110.74
V000080452,2025-05-05,C0047,B00NQGP42Y,4,2271.44
V000080453,2025-05-05,C0005,B018IZ0SWI,7,2710.26
V000080454,2025-05-06,C0055,B01KBH547A,4,967.48
V000080455,2025-05-06,C0024,B01DZJFWNC,10,2386.2
V000080456,2025-05-06,C0033,B016B7INC2,2,487.56
V000080457,2025-05-06,C0008,B01LQV1YHO,4,1552.56
V000080458,2025-05-06,C0035,B01LQV1YHO,6,2328.84
V000080459,2025-05-06,C0009,B015YCRYZM,3,1443.33
V000080460,2025-05-06,C0068,B00F3J4B5S,4,1649.12
V000080461,2025-05-07,C0034,B01EYT1URO,3,941.0699999999999
V000080462,2025-05-07,C0061,B00NQGP42Y,2,1135.72
V000080463,2025-05-07,C0063,B01EYT1URO,4,1254.76
V000080464,2025-05-07,C0001,B01KBH547A,3,725.61
V000080465,2025-05-07,C0020,B00NQGP42Y,7,3975.02
V000080466,2025-05-08,C0030,B01KBH547A,1,241.87
V000080467,2025-05-08,C0013,B01DZJFWNC,6,1431.72
V000080468,2025-05-08,C0026,B01DZJFWNC,5,1193.1
V000080469,2025-05-08,C0037,B01EYT1URO,1,313.69
V000080470,2025-05-08,C0015,B00K15Q2B0,3,1553.88
V000080471,2025-05-08,C0019,B00F3J4B5S,4,1649.12
V000080472,2025-05-08,C0017,B00F3J4B5S,3,1236.84
V000080473,2025-05-08,C0043,B018IZ0SWI,4,1548.72
V000080474,2025-05-08,C0053,B01KBH547A,2,483.74
V000080475,2025-05-09,C0060,B00NQGP42Y,1,567.86
V000080476,2025-05-09,C0041,B016381QZA,1,481.94
V000080477,2025-05-09,C0025,B00F3J4B5S,4,1649.12
V000080478,2025-05-09,C0054,B00K15Q2B0,9,4661.64
V000080479,2025-05-09,C0029,B01KBH547A,5,1209.35
V000080480,2025-05-09,C0026,B018IZ0SWI,6,2323.08
V000080481,2025-05-09,C0064,B00F3J4B5S,3,1236.84
V000080482,2025-05-09,C0033,B018IZ0SWI,2,774.36
V000080483,2025-05-10,C0068,B018IZ0SWI,2,774.36
V000080484,2025-05-10,C0019,B01LQV1YHO,1,388.14
V000080485,2025-05-11,C0066,B018IZ0SWI,2,774.36
V000080486,2025-05-11,C0023,B00F3J4B5S,1,412.28
V000080487,2025-05-11,C0050,B00K15Q2B0,5,2589.8
V000080488,2025-05-11,C0070,B01LQV1YHO,6,2328.84
V000080489,2025-05-11,C0004,B01LQV1YHO,1,388.14
V000080490,2025-05-11,C0036,B00K15Q2B0,2,1035.92
V000080491,2025-05-11,C0039,B018IZ0SWI,14,5420.52
V000080492,2025-05-12,C0069,B00F3J4B5S,4,1649.12
V000080493,2025-05-12,C0046,B00K15Q2B0,4,2071.84
V000080494,2025-05-12,C0062,B01EYT1URO,1,313.69
V000080495,2025-05-12,C0024,B01LQV1YHO,5,1940.6999999999998
V000080496,2025-05-12,C0054,B01KBH547A,2,483.74
V000080497,2025-05-12,C0025,B00J0O5J4Y,6,2413.44
V000080498,2025-05-12,C0068,B01DZJFWNC,2,477.24
V000080499,2025-05-13,C0003,B01KBH547A,5,1209.35
V000080500,2025-05-13,C0070,B00K15Q2B0,1,517.96
V000080501,2025-05-13,C0054,B018IZ0SWI,6,2323.08
V000080502,2025-05-13,C0012,B01DZJFWNC,3,715.86
V000080503,2025-05-13,C0025,B01LQV1YHO,1,388.14
V000080504,2025-05-13,C0011,B01DZJFWNC,1,238.62
V000080505,2025-05-13,C0048,B01KBH547A,4,967.48
V000080506,2025-05-14,C0051,B01KBH547A,1,241.87
V000080507,2025-05-14,C0012,B01EYT1URO,6,1882.1399999999999
V000080508,2025-05-14,C0052,B018IZ0SWI,5,1935.9
V000080509,2025-05-14,C0048,B018IZ0SWI,4,1548.72
V000080510,2025-05-15,C0009,B00K15Q2B0,8,4143.68
V000080511,2025-05-15,C0010,B01KBH547A,5,1209.35
V000080512,2025-05-15,C0041,B018IZ0SWI,3,1161.54
V000080513,2025-05-15,C0004,B01EYT1URO,2,627.38
V000080514,2025-05-15,C0051,B00K15Q2B0,2,1035.92
V000080515,2025-05-15,C0001,B00F3J4B5S,2,824.56
V000080516,2025-05-15,C0018,B00K15Q2B0,2,1035.92
V000080517,2025-05-15,C0047,B01LQV1YHO,4,1552.56
V000080518,2025-05-15,C0052,B00K15Q2B0,2,1035.92
V000080519,2025-05-15,C0040,B00K15Q2B0,6,3107.76
V000080520,2025-05-15,C0037,B016381QZA,2,963.88
V000080521,2025-05-16,C0018,B00NQGP42Y,3,1703.58
V000080522,2025-05-16,C0026,B01KBH547A,1,241.87
V000080523,2025-05-16,C0025,B00K15Q2B0,3,1553.88
V000080524,2025-05-16,C0042,B01KBH547A,10,2418.7
V000080525,2025-05-17,C0028,B018IZ0SWI,9,3484.62
V000080526,2025-05-17,C0038,B01EYT1URO,1,313.69
V000080527,2025-05-17,C0041,B00F3J4B5S,1,412.28
V000080528,2025-05-17,C0059,B00K15Q2B0,3,1553.88
V000080529,2025-05-17,C0069,B01KBH547A,5,1209.35
V000080530,2025-05-17,C0013,B01LQV1YHO,4,1552.56
V000080531,2025-05-17,C0007,B00F3J4B5S,2,824.56
V000080532,2025-05-18,C0069,B018IZ0SWI,1,387.18
V000080533,2025-05-18,C0049,B00NQGP42Y,5,2839.3
V000080534,2025-05-18,C0061,B01KBH547A,5,1209.35
V000080535,2025-05-18,C0016,B00F3J4B5S,1,412.28
V000080536,2025-05-18,C0007,B01LQV1YHO,5,1940.6999999999998
V000080537,2025-05-18,C0008,B018IZ0SWI,5,1935.9
V000080538,2025-05-18,C0070,B018IZ0SWI,2,774.36
V000080539,2025-05-19,C0010,B016B7INC2,5,1218.9
V000080540,2025-05-19,C0022,B01DZJFWNC,6,1431.72
V000080541,2025-05-19,C0002,B00F3J4B5S,2,824.56
V000080542,2025-05-19,C0008,B01DZJFWNC,3,715.86
V000080543,2025-05-19,C0057,B018IZ0SWI,5,1935.9
V000080544,2025-05-19,C0051,B018IZ0SWI,7,2710.26
V000080545,2025-05-19,C0028,B00K15Q2B0,3,1553.88
V000080546,2025-05-19,C0041,B01DZJFWNC,4,954.48
V000080547,2025-05-19,C0053,B00NQGP42Y,2,1135.72
V000080548,2025-05-19,C0022,B00F3J4B5S,5,2061.3999999999996
V000080549,2025-05-20,C0019,B018IZ0SWI,10,3871.8
V000080550,2025-05-20,C0041,B00K15Q2B0,6,3107.76
V000080551,2025-05-20,C0055,B016381QZA,3,1445.82
V000080552,2025-05-20,C0011,B01LQV1YHO,2,776.28
V000080553,2025-05-20,C0047,B01EYT1URO,3,941.0699999999999
V000080554,2025-05-20,C0026,B00F3J4B5S,9,3710.5199999999995
V000080555,2025-05-20,C0048,B00F3J4B5S,3,1236.84
V000080556,2025-05-20,C0011,B01EYT1URO,3,941.0699999999999
V000080557,2025-05-21,C0038,B00F3J4B5S,6,2473.68
V000080558,2025-05-21,C0028,B016381QZA,2,963.88
